source,exp_id,avg_acc_before,avg_acc_after,time,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
config-xor-bad-2-results,17,0.9950846531949754,0.977607864554888,0.8516,1,SAMPLES,450,250,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
config-xor-bad-2-results,18,0.9950846531949754,0.977607864554888,0.9069,1,SAMPLES,450,400,[4],22,2,"{'select_weight': [[2, 2, 1], [2, 2, 2]]}",
config-xor-bad-2-results,19,0.9950846531949754,0.6873293282359366,0.2228,1,SAMPLES,450,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
config-xor-bad-2-results,20,0.9950846531949754,0.9860731840524304,1.0418,1,SAMPLES,450,250,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
config-xor-bad-2-results,21,0.9950846531949754,0.977607864554888,0.8526,1,SAMPLES,450,400,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1]]}",
config-xor-bad-2-results,22,0.9950846531949754,0.6859639541234298,0.2196,1,SAMPLES,450,1,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
config-xor-bad-2-results,23,0.9950846531949754,0.977607864554888,0.8581,1,SAMPLES,450,250,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
config-xor-bad-2-results,24,0.9950846531949754,0.977607864554888,0.8487,1,SAMPLES,450,400,[4],22,3,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 2]]}",
config-xor-bad-2-results,25,0.9950846531949754,0.6859639541234298,0.1409,1,SAMPLES,450,1,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
config-xor-bad-2-results,26,0.9950846531949754,0.9860731840524304,0.5489,1,SAMPLES,450,250,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
config-xor-bad-2-results,27,0.9950846531949754,0.977607864554888,0.6092,1,SAMPLES,450,400,[4],22,4,"{'select_weight': [[2, 1, 1], [2, 1, 2], [2, 2, 1], [2, 2, 2]]}",
config-xor-bad-2-results,28,0.9950846531949754,0.8596395412342982,0.3448,1,GRID,100,1,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,29,,,timeout,1,GRID,100,2,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,30,,,timeout,1,GRID,100,10,[4],22,1,"{'select_weight': [[2, 1, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,31,0.9950846531949754,0.6859639541234298,0.2873,1,GRID,100,1,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,32,,,timeout,1,GRID,100,2,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,33,,,timeout,1,GRID,100,10,[4],22,1,"{'select_weight': [[2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,34,0.9950846531949754,0.6859639541234298,0.2416,1,GRID,100,1,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,35,,,timeout,1,GRID,100,2,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,36,,,timeout,1,GRID,100,10,[4],22,2,"{'select_weight': [[2, 1, 1], [2, 1, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,37,0.9950846531949754,0.6859639541234298,0.3264,1,GRID,100,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,38,,,timeout,1,GRID,100,2,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,39,,,timeout,1,GRID,100,10,[4],22,1,"{'select_weight': [[2, 2, 1]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
config-xor-bad-2-results,40,0.9950846531949754,0.6859639541234298,0.3364,1,GRID,100,1,[4],22,1,"{'select_weight': [[2, 2, 2]]}","{'x_range': [-22, 22], 'y_range': [-22, 22], 'grid_delta': 4, 'samples_num': 3, 'limit_cells': 450}"
