exp_id,avg_acc_before,avg_acc_after,time,config_path,Props,Heuristic,NumConstraints,Threshold,NNHidden,Params,Free,WeightsConfig,extra_params
82,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_82/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[2, 1, 2]]}",
83,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_83/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[2, 1, 2]]}",
84,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_84/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[2, 1, 2]]}",
85,unsat,unsat,0.4849,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_85/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 3]]}",
86,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_86/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 1, 3]]}",
87,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_87/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[2, 1, 3]]}",
88,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_88/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[2, 1, 3]]}",
89,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_89/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[2, 1, 3]]}",
90,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_90/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[2, 1, 3]]}",
91,unsat,unsat,0.4743,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_91/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 1, 4]]}",
92,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_92/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 1, 4]]}",
93,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_93/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[2, 1, 4]]}",
94,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_94/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[2, 1, 4]]}",
95,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_95/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[2, 1, 4]]}",
96,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_96/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_weight': [[2, 1, 4]]}",
97,0.9950846531949754,0.8421627525942108,12.2746,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_97/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_bias': [[2, 1]]}",
98,0.9950846531949754,0.8421627525942108,4.4617,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_98/config.json,1,SAMPLES,1562,325,[4],22,1,"{'select_bias': [[2, 1]]}",
99,0.9950846531949754,0.8421627525942108,4.4534,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_99/config.json,1,SAMPLES,1562,750,[4],22,1,"{'select_bias': [[2, 1]]}",
100,0.9950846531949754,0.8421627525942108,4.4698,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_100/config.json,1,SAMPLES,1562,1000,[4],22,1,"{'select_bias': [[2, 1]]}",
101,unsat,unsat,4.5916,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_101/config.json,1,SAMPLES,1562,1500,[4],22,1,"{'select_bias': [[2, 1]]}",
102,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_102/config.json,1,SAMPLES,None,1561,[4],None,None,"{'select_bias': [[2, 1]]}",
103,unsat,unsat,0.4462,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_103/config.json,1,SAMPLES,1562,1,[4],22,1,"{'select_weight': [[2, 2, 1]]}",
104,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_104/config.json,1,SAMPLES,None,325,[4],None,None,"{'select_weight': [[2, 2, 1]]}",
105,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_105/config.json,1,SAMPLES,None,750,[4],None,None,"{'select_weight': [[2, 2, 1]]}",
106,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_106/config.json,1,SAMPLES,None,1000,[4],None,None,"{'select_weight': [[2, 2, 1]]}",
107,skipped,skipped,skipped,/home/deebee/PycharmProjects/NNSynthesizer/cache/config-xor-bad-10-2props-1w/exp_107/config.json,1,SAMPLES,None,1500,[4],None,None,"{'select_weight': [[2, 2, 1]]}",
